===================================================================================
|Mã Chấm Công   |Mã Nhân Sự     |Ngày      |Tháng     |Năm       |Trạng Thái      |
-----------------------------------------------------------------------------------
|CC001          |NS001          |1         |1         |2025      |Nghỉ bệnh       |
|CC002          |NS001          |2         |1         |2025      |Nghỉ bệnh       |
|CC003          |NS001          |3         |1         |2025      |Đi làm          |
|CC004          |NS001          |4         |1         |2025      |Đi làm          |
|CC005          |NS001          |5         |1         |2025      |Nghỉ không phép |
|CC006          |NS001          |6         |1         |2025      |Đi làm          |
|CC007          |NS001          |7         |1         |2025      |Nghỉ có phép    |
|CC008          |NS001          |8         |1         |2025      |Đi làm          |
|CC009          |NS001          |9         |1         |2025      |Nghỉ bệnh       |
|CC010          |NS001          |10        |1         |2025      |Đi làm          |
|CC011          |NS001          |11        |1         |2025      |Đi làm          |
|CC012          |NS001          |12        |1         |2025      |Nghỉ có phép    |
|CC013          |NS001          |13        |1         |2025      |Đi làm          |
|CC014          |NS001          |14        |1         |2025      |Đi làm          |
|CC015          |NS001          |15        |1         |2025      |Đi làm          |
|CC016          |NS001          |16        |1         |2025      |Đi làm          |
|CC017          |NS001          |17        |1         |2025      |Nghỉ có phép    |
|CC018          |NS001          |18        |1         |2025      |Đi làm          |
|CC019          |NS001          |19        |1         |2025      |Đi làm          |
|CC020          |NS001          |20        |1         |2025      |Đi làm          |
|CC021          |NS001          |21        |1         |2025      |Đi làm          |
|CC022          |NS001          |22        |1         |2025      |Đi làm          |
|CC023          |NS001          |23        |1         |2025      |Nghỉ bệnh       |
|CC024          |NS001          |24        |1         |2025      |Nghỉ không phép |
|CC025          |NS001          |25        |1         |2025      |Đi làm          |
|CC026          |NS001          |26        |1         |2025      |Nghỉ không phép |
|CC027          |NS002          |1         |2         |2025      |Đi làm          |
|CC028          |NS002          |2         |2         |2025      |Nghỉ có phép    |
|CC029          |NS002          |3         |2         |2025      |Đi làm          |
|CC030          |NS002          |4         |2         |2025      |Đi làm          |
|CC031          |NS002          |5         |2         |2025      |Đi làm          |
|CC032          |NS002          |6         |2         |2025      |Nghỉ bệnh       |
|CC033          |NS002          |7         |2         |2025      |Nghỉ không phép |
|CC034          |NS002          |8         |2         |2025      |Đi làm          |
|CC035          |NS002          |9         |2         |2025      |Đi làm          |
|CC036          |NS002          |10        |2         |2025      |Đi làm          |
|CC037          |NS002          |11        |2         |2025      |Đi làm          |
|CC038          |NS002          |12        |2         |2025      |Đi làm          |
|CC039          |NS002          |13        |2         |2025      |Nghỉ bệnh       |
|CC040          |NS002          |14        |2         |2025      |Đi làm          |
|CC041          |NS002          |15        |2         |2025      |Nghỉ bệnh       |
|CC042          |NS002          |16        |2         |2025      |Đi làm          |
|CC043          |NS002          |17        |2         |2025      |Đi làm          |
|CC044          |NS002          |18        |2         |2025      |Đi làm          |
|CC045          |NS002          |19        |2         |2025      |Nghỉ bệnh       |
|CC046          |NS002          |20        |2         |2025      |Đi làm          |
|CC047          |NS002          |21        |2         |2025      |Đi làm          |
|CC048          |NS002          |22        |2         |2025      |Nghỉ không phép |
|CC049          |NS002          |23        |2         |2025      |Đi làm          |
|CC050          |NS002          |24        |2         |2025      |Nghỉ bệnh       |
|CC051          |NS002          |25        |2         |2025      |Đi làm          |
|CC052          |NS002          |26        |2         |2025      |Đi làm          |
|CC053          |NS003          |1         |3         |2025      |Nghỉ bệnh       |
|CC054          |NS003          |2         |3         |2025      |Đi làm          |
|CC055          |NS003          |3         |3         |2025      |Đi làm          |
|CC056          |NS003          |4         |3         |2025      |Nghỉ có phép    |
|CC057          |NS003          |5         |3         |2025      |Đi làm          |
|CC058          |NS003          |6         |3         |2025      |Đi làm          |
|CC059          |NS003          |7         |3         |2025      |Đi làm          |
|CC060          |NS003          |8         |3         |2025      |Đi làm          |
|CC061          |NS003          |9         |3         |2025      |Đi làm          |
|CC062          |NS003          |10        |3         |2025      |Đi làm          |
|CC063          |NS003          |11        |3         |2025      |Nghỉ có phép    |
|CC064          |NS003          |12        |3         |2025      |Nghỉ không phép |
|CC065          |NS003          |13        |3         |2025      |Nghỉ có phép    |
|CC066          |NS003          |14        |3         |2025      |Nghỉ không phép |
|CC067          |NS003          |15        |3         |2025      |Nghỉ bệnh       |
|CC068          |NS003          |16        |3         |2025      |Đi làm          |
|CC069          |NS003          |17        |3         |2025      |Nghỉ không phép |
|CC070          |NS003          |18        |3         |2025      |Nghỉ bệnh       |
|CC071          |NS003          |19        |3         |2025      |Nghỉ không phép |
|CC072          |NS003          |20        |3         |2025      |Đi làm          |
|CC073          |NS003          |21        |3         |2025      |Đi làm          |
|CC074          |NS003          |22        |3         |2025      |Đi làm          |
|CC075          |NS003          |23        |3         |2025      |Đi làm          |
|CC076          |NS003          |24        |3         |2025      |Đi làm          |
|CC077          |NS003          |25        |3         |2025      |Nghỉ có phép    |
|CC078          |NS003          |26        |3         |2025      |Nghỉ có phép    |
|CC079          |NS004          |1         |4         |2025      |Đi làm          |
|CC080          |NS004          |2         |4         |2025      |Đi làm          |
|CC081          |NS004          |3         |4         |2025      |Đi làm          |
|CC082          |NS004          |4         |4         |2025      |Đi làm          |
|CC083          |NS004          |5         |4         |2025      |Đi làm          |
|CC084          |NS004          |6         |4         |2025      |Đi làm          |
|CC085          |NS004          |7         |4         |2025      |Đi làm          |
|CC086          |NS004          |8         |4         |2025      |Nghỉ có phép    |
