=======================================================================
|Mã BCCT   |Mã NS   |Tháng  |Năm    |Số Ngày Làm     |Số Ngày Nghỉ    |
-----------------------------------------------------------------------
|BCCT001   |NS001   |1      |2025   |25              |1               |
|BCCT002   |NS001   |2      |2025   |23              |3               |
|BCCT003   |NS001   |3      |2025   |24              |2               |
|BCCT004   |NS001   |4      |2025   |25              |1               |
|BCCT005   |NS001   |5      |2025   |26              |0               |
|BCCT006   |NS001   |6      |2025   |22              |4               |
|BCCT007   |NS001   |7      |2025   |25              |1               |
|BCCT008   |NS001   |8      |2025   |24              |2               |
|BCCT009   |NS001   |9      |2025   |23              |3               |
|BCCT010   |NS001   |10     |2025   |26              |0               |
|BCCT011   |NS001   |11     |2025   |25              |1               |
|BCCT012   |NS001   |12     |2025   |24              |2               |
|BCCT013   |NS002   |1      |2025   |24              |2               |
|BCCT014   |NS002   |2      |2025   |25              |1               |
|BCCT015   |NS002   |3      |2025   |23              |3               |
|BCCT016   |NS002   |4      |2025   |26              |0               |
|BCCT017   |NS002   |5      |2025   |25              |1               |
|BCCT018   |NS002   |6      |2025   |22              |4               |
|BCCT019   |NS002   |7      |2025   |24              |2               |
|BCCT020   |NS002   |8      |2025   |25              |1               |
|BCCT021   |NS002   |9      |2025   |23              |3               |
|BCCT022   |NS002   |10     |2025   |26              |0               |
|BCCT023   |NS002   |11     |2025   |24              |2               |
|BCCT024   |NS002   |12     |2025   |25              |1               |
|BCCT025   |NS003   |1      |2025   |26              |0               |
|BCCT026   |NS003   |2      |2025   |25              |1               |
|BCCT027   |NS003   |3      |2025   |24              |2               |
|BCCT028   |NS003   |4      |2025   |25              |1               |
|BCCT029   |NS003   |5      |2025   |23              |3               |
|BCCT030   |NS003   |6      |2025   |22              |4               |
|BCCT031   |NS003   |7      |2025   |26              |0               |
|BCCT032   |NS003   |8      |2025   |25              |1               |
|BCCT033   |NS003   |9      |2025   |23              |3               |
|BCCT034   |NS003   |10     |2025   |24              |2               |
|BCCT035   |NS003   |11     |2025   |25              |1               |
|BCCT036   |NS003   |12     |2025   |26              |0               |
|BCCT037   |NS004   |1      |2025   |23              |3               |
|BCCT038   |NS004   |2      |2025   |24              |2               |
|BCCT039   |NS004   |3      |2025   |25              |1               |
|BCCT040   |NS004   |4      |2025   |22              |4               |
|BCCT041   |NS004   |5      |2025   |25              |1               |
|BCCT042   |NS004   |6      |2025   |26              |0               |
|BCCT043   |NS004   |7      |2025   |24              |2               |
|BCCT044   |NS004   |8      |2025   |25              |1               |
|BCCT045   |NS004   |9      |2025   |23              |3               |
|BCCT046   |NS004   |10     |2025   |22              |4               |
|BCCT047   |NS004   |11     |2025   |26              |0               |
|BCCT048   |NS004   |12     |2025   |25              |1               |
